,asset,sim_name,scen_id,std_unit,w_sharp,sharp_ratio_3m,sharp_ratio_6m,sharp_ratio_1y,sharp_ratio_2y,sharp_ratio_3y,tot_pnl_3m,tot_pnl_6m,tot_pnl_1y,tot_pnl_2y,tot_pnl_3y,tot_cost_3m,tot_cost_6m,tot_cost_1y,tot_cost_2y,tot_cost_3y,par_name0,par_value0,par_name1,par_value1,par_name2,par_value2,par_name3,par_value3,par_name4,par_value4,freq,channels,ma_chan,price_mode,lookbacks,ratios,trend_factor,lot_size,min_rng,vol_ratio,volumes
14,rb,DTvec_180214,127,678.501,1.105907,-1.03115,0.752555,1.03187,1.35662,1.2493,-208.0,383.0,1107.0,2807.0,3215.0,83.0,147.0,269.0,527.0,778.0,param,"[0.2, 4, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,4,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
15,rb,DTvec_180214,48,650.307,1.0988782,-1.23089,0.400871,1.19525,1.35151,1.30876,-230.0,189.0,1229.0,2849.0,3434.0,79.0,131.0,245.0,495.0,722.0,param,"[0.6, 1, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,1,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
16,rb,DTvec_180214,120,649.442,1.0956132,-0.93714,0.627986,1.00987,1.41517,1.26263,-198.0,297.0,1037.0,2873.0,3204.0,59.0,99.0,185.0,351.0,526.0,param,"[0.5, 2, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
17,rb,DTvec_180214,7,644.588,1.0784154,-0.856171,0.589833,0.999812,1.40131,1.26952,-172.0,291.0,1019.0,2857.0,3229.0,63.0,107.0,205.0,407.0,610.0,param,"[0.6, 0, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,0,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
18,rb,DTvec_180214,43,660.895,0.9550716,-1.11157,0.540828,0.927295,1.18997,1.14529,-212.0,259.0,969.0,2499.0,2993.0,83.0,143.0,273.0,543.0,778.0,param,"[0.5, 1, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,1,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
19,rb,DTasym_180214,58,655.601,0.9478106,-0.608517,0.180263,0.741845,1.53755,1.36822,-116.0,87.0,769.0,3095.0,3438.0,115.0,211.0,397.0,739.0,1102.0,param,"[0.2, 2, 0.5, 0.5]",machan,20,mode,HL,,0,,0,1,0,20,HL,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
20,rb,DT4sp_180214,0,574.762,2.1852898,1.27493,0.951569,1.99497,2.99247,2.47095,240.0,451.0,1813.0,5457.0,5698.0,201.0,401.0,771.0,1459.0,2168.0,param,"[0.5, 2, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
21,rb,DTsplit_180214,102,633.086,2.169686,1.9412,1.62339,2.2907,2.32182,2.03457,356.0,799.0,2293.0,4721.0,5184.0,135.0,263.0,513.0,991.0,1462.0,param,"[0.35, 2, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.35,0.5,10,0.0035,"[1.0, 0.0]",[1]
22,rb,DTsplit_180214,97,634.266,2.005298,1.5448,1.10935,2.02718,2.43139,2.13925,284.0,543.0,2033.0,4855.0,5341.0,131.0,263.0,509.0,975.0,1418.0,param,"[0.3, 2, 0.5, 0.5]",machan,0,mode,TP,,0,,0,1,0,0,TP,2,0.3,0.5,10,0.0035,"[1.0, 0.0]",[1]
23,rb,DTsplit_180214,87,625.351,1.982882,1.45189,1.09801,2.09654,2.31166,2.02622,278.0,525.0,2073.0,4667.0,5131.0,119.0,263.0,533.0,1075.0,1486.0,param,"[0.2, 2, 0.5, 0.5]",machan,10,mode,TP,,0,,0,1,0,10,TP,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
24,rb,DTsplit_180214,86,624.184,1.9506166,1.08294,0.795643,2.10653,2.37219,1.89227,210.0,383.0,2079.0,4749.0,4770.0,151.0,331.0,665.0,1301.0,1850.0,param,"[0.2, 2, 0.5, 0.5]",machan,10,mode,HL,,0,,0,1,0,10,HL,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
25,rb,DTsplit_180214,127,621.298,1.914958,1.5691,1.71383,2.14482,1.78566,1.5912,306.0,799.0,2107.0,3679.0,4097.0,123.0,247.0,497.0,963.0,1402.0,param,"[0.2, 4, 0.5, 0.5]",machan,0,mode,TP,,0,,0,1,0,0,TP,4,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
26,rb,DTsplit_180214,42,612.989,1.9068822,0.270261,0.669711,1.92215,2.5102,2.13442,52.0,315.0,1863.0,4685.0,5002.0,171.0,339.0,653.0,1283.0,1862.0,param,"[0.5, 1, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,1,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
27,rb,DTsplit_180214,91,633.601,1.7743064,1.28793,0.605272,2.05327,2.07986,1.75293,234.0,293.0,2057.0,4243.0,4487.0,151.0,315.0,613.0,1179.0,1706.0,param,"[0.25, 2, 0.5, 0.5]",machan,0,mode,TP,,0,,0,1,0,0,TP,2,0.25,0.5,10,0.0035,"[1.0, 0.0]",[1]
28,rb,DTsplit_180214,85,621.833,1.7726988,1.18853,0.771034,2.1267,1.91953,1.51465,210.0,357.0,2091.0,3831.0,3799.0,167.0,367.0,725.0,1427.0,2034.0,param,"[0.2, 2, 0.5, 0.5]",machan,0,mode,TP,,0,,0,1,0,0,TP,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
29,rb,DTsplit_180214,48,622.985,1.7457686,0.280824,0.855243,1.48523,2.45157,2.1573,58.0,405.0,1463.0,4639.0,5134.0,155.0,299.0,569.0,1115.0,1586.0,param,"[0.6, 1, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,1,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
30,rb,DT4sp_180214,7,552.59,1.743762,2.90497,1.62227,1.5554,1.99287,1.62147,540.0,713.0,1359.0,3559.0,3654.0,109.0,241.0,495.0,959.0,1412.0,param,"[0.6, 2, 0.5, 0.5]",machan,0,mode,TP,,0,,0,1,0,0,TP,2,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
31,rb,DTsplit_180214,92,628.529,1.732928,1.11456,0.6815,1.82834,2.16323,1.94113,210.0,321.0,1817.0,4353.0,4878.0,131.0,283.0,553.0,1059.0,1498.0,param,"[0.25, 2, 0.5, 0.5]",machan,10,mode,HL,,0,,0,1,0,10,HL,2,0.25,0.5,10,0.0035,"[1.0, 0.0]",[1]
32,rb,DTsplit_180214,43,620.047,1.6875076,0.144109,0.420318,1.62487,2.38374,2.0178,28.0,199.0,1593.0,4541.0,4833.0,139.0,287.0,545.0,1079.0,1542.0,param,"[0.5, 1, 0.5, 0.5]",machan,0,mode,TP,,0,,0,1,0,0,TP,1,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
33,rb,DTsplit_180214,6,639.171,1.650777,0.103763,0.776405,1.43179,2.30695,1.98393,22.0,379.0,1447.0,4535.0,4896.0,143.0,263.0,493.0,935.0,1342.0,param,"[0.6, 0, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,0,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
34,rb,DTsplit_180214,96,643.002,1.630365,0.973461,0.773965,1.62194,2.06699,1.69162,188.0,385.0,1649.0,4175.0,4294.0,167.0,335.0,657.0,1215.0,1778.0,param,"[0.3, 2, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.3,0.5,10,0.0035,"[1.0, 0.0]",[1]
35,rb,DTsplit_180214,32,645.9,1.60883,1.05452,1.93249,1.32678,1.72905,1.53235,206.0,865.0,1355.0,3499.0,3882.0,41.0,63.0,141.0,283.0,430.0,param,"[1.0, 0, 0.5, 0.5]",machan,10,mode,HL,,0,,0,1,0,10,HL,0,1.0,0.5,10,0.0035,"[1.0, 0.0]",[1]
36,rb,DTsplit_180214,1,616.354,1.5520632,0.305426,0.315556,1.5443,2.17808,1.85291,58.0,151.0,1505.0,4191.0,4475.0,131.0,259.0,485.0,947.0,1362.0,param,"[0.5, 0, 0.5, 0.5]",machan,0,mode,TP,,0,,0,1,0,0,TP,0,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
37,rb,DT4sp_180214,6,589.361,1.551384,2.11078,0.9753,1.32744,2.06337,1.67312,386.0,475.0,1237.0,3907.0,3980.0,161.0,321.0,603.0,1147.0,1712.0,param,"[0.6, 2, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
